frequency,type,instruction
vector_string_indexof,instruction,1
vector_boolean_rest,instruction,1
code_dup,instruction,1
vector_boolean_shove,instruction,1
float_min,instruction,1
boolean_not,instruction,1
float_mult,instruction,1
float_fromstring,instruction,1
code_if,instruction,1
vector_boolean_dup_items,instruction,1
vector_integer_pop,instruction,1
vector_boolean_last,instruction,1
exec_do*times,instruction,1
float_dec,instruction,1
vector_float_contains,instruction,1
exec_do*vector_string,instruction,1
code_nthcdr,instruction,1
string_empty,instruction,1
char_empty,instruction,1
exec_pop,instruction,1
vector_integer_set,instruction,1
vector_float_rot,instruction,1
string_yankdup,instruction,1
exec_do*vector_float,instruction,1
string_removechar,instruction,1
 grade.,literal,1
code_extract,instruction,1
vector_string_replace,instruction,1
vector_float_first,instruction,1
char_flush,instruction,1
vector_float_occurrencesof,instruction,1
vector_string_emptyvector,instruction,1
float_add,instruction,1
in2,instruction,1
code_stackdepth,instruction,1
exec_s,instruction,1
float_dup,instruction,1
vector_string_nth,instruction,1
vector_integer_reverse,instruction,1
print_vector_integer,instruction,1
char_fromfloat,instruction,1
code_do*times,instruction,1
code_noop,instruction,1
code_yank,instruction,1
integer_lt,instruction,1
vector_boolean_eq,instruction,1
noop_open_paren,instruction,1
vector_boolean_dup_times,instruction,1
string_containschar,instruction,1
string_yank,instruction,1
A,literal,1
vector_boolean_rot,instruction,1
float_swap,instruction,1
vector_string_pushall,instruction,1
vector_string_set,instruction,1
vector_boolean_flush,instruction,1
exec_noop,instruction,1
code_size,instruction,1
vector_boolean_stackdepth,instruction,1
vector_integer_pushall,instruction,1
vector_boolean_reverse,instruction,1
integer_swap,instruction,1
string_split,instruction,1
vector_boolean_contains,instruction,1
string_fromboolean,instruction,1
vector_float_dup,instruction,1
vector_boolean_replace,instruction,1
vector_string_dup_items,instruction,1
integer_dup,instruction,1
vector_boolean_nth,instruction,1
vector_string_length,instruction,1
string_rest,instruction,1
in3,instruction,1
float_tan,instruction,1
string_rot,instruction,1
exec_yank,instruction,1
string_parse_to_chars,instruction,1
integer_pop,instruction,1
integer_empty,instruction,1
vector_float_flush,instruction,1
vector_float_yank,instruction,1
noop_delete_prev_paren_pair,instruction,1
print_exec,instruction,1
float_dup_times,instruction,1
code_empty,instruction,1
float_inc,instruction,1
vector_float_length,instruction,1
integer_dec,instruction,1
string_contains,instruction,1
vector_float_concat,instruction,1
vector_float_stackdepth,instruction,1
exec_do*vector_boolean,instruction,1
vector_integer_first,instruction,1
print_vector_float,instruction,1
float_rot,instruction,1
vector_string_contains,instruction,1
vector_boolean_occurrencesof,instruction,1
string_dup_items,instruction,1
vector_string_reverse,instruction,1
code_cons,instruction,1
code_member,instruction,1
exec_stackdepth,instruction,1
float_flush,instruction,1
boolean_and,instruction,1
vector_boolean_butlast,instruction,1
string_length,instruction,1
float_cos,instruction,1
string_frominteger,instruction,1
exec_flush,instruction,1
vector_string_empty,instruction,1
exec_when,instruction,1
vector_float_swap,instruction,1
D,literal,1
code_insert,instruction,1
vector_boolean_pop,instruction,1
float_div,instruction,1
code_fromboolean,instruction,1
vector_boolean_take,instruction,1
code_shove,instruction,1
vector_float_take,instruction,1
boolean_invert_second_then_and,instruction,1
in4,instruction,1
code_container,instruction,1
code_nth,instruction,1
vector_boolean_subvec,instruction,1
float_yank,instruction,1
vector_boolean_emptyvector,instruction,1
Student has a ,literal,1
vector_boolean_replacefirst,instruction,1
string_fromfloat,instruction,1
vector_boolean_yankdup,instruction,1
string_dup,instruction,1
boolean_yankdup,instruction,1
